date,time,year,month,day,mins,hour,NDSI,AEI,ADI,BI,ACI,period,season
2021-12-14,08:30:00,2021,12,14,30,8,0.381117057973781,0.814767,0.766768,2.41594167607472,1830.92970469641,morning,Summer
2021-12-14,08:40:00,2021,12,14,40,8,0.478084230152342,0.794106,0.757183,2.14555519942226,1829.55608996268,morning,Summer
2021-12-14,08:50:00,2021,12,14,50,8,0.687099804154796,0.053793,2.297559,2.00348487864484,1830.42538347014,morning,Summer
2021-12-14,09:00:00,2021,12,14,0,9,0.774333859002938,0.094464,2.287681,3.75674920649952,1825.59537140297,morning,Summer
2021-12-14,09:10:00,2021,12,14,10,9,0.730404873528862,0.054707,2.297808,4.1209139290477,1816.58435041245,morning,Summer
2021-12-14,09:20:00,2021,12,14,20,9,0.908086103805073,0.445594,1.956084,4.1986344808957,1838.21193568048,morning,Summer
2021-12-14,09:30:00,2021,12,14,30,9,0.745410009485023,0.343323,2.094853,2.5382161758935,1819.68356391325,morning,Summer
2021-12-14,09:40:00,2021,12,14,40,9,0.765690947709277,0.166977,2.256222,2.6598057614345,1821.0094812221,morning,Summer
2021-12-14,09:50:00,2021,12,14,50,9,0.719943472230743,0.693664,1.287468,2.71542690192844,1835.28584627106,morning,Summer
2021-12-14,10:00:00,2021,12,14,0,10,0.819233948177424,0.610398,1.585017,3.07441730143206,1840.67625351583,morning,Summer
2021-12-14,10:10:00,2021,12,14,10,10,0.640507924573435,0.885673,0.196769,2.08935907812487,1822.86270896354,morning,Summer
2021-12-14,10:20:00,2021,12,14,20,10,0.789562385581956,0.102321,2.2850799999999998,3.29558425492195,1836.1512591918,morning,Summer
2021-12-14,10:30:00,2021,12,14,30,10,0.90581028233551,0.125145,2.277566,4.78846248295855,1858.31112186167,morning,Summer
2021-12-14,10:40:00,2021,12,14,40,10,0.759371983601801,0.678767,1.323913,2.25876158114176,1842.21090897372,morning,Summer
2021-12-14,10:50:00,2021,12,14,50,10,0.605957505575815,0.881673,0.181825,1.21505632339613,1821.58966760156,morning,Summer
2021-12-14,11:00:00,2021,12,14,0,11,0.857184783445469,0.158278,2.261749,4.44931856291824,1831.50805280047,morning,Summer
2021-12-14,11:10:00,2021,12,14,10,11,0.714685710037231,0.019641,2.301897,1.81835031494998,1819.38040234686,morning,Summer
2021-12-14,11:20:00,2021,12,14,20,11,0.793226472619756,0.743817,0.95433,4.72413682102969,1831.02620201044,morning,Summer
2021-12-14,11:30:00,2021,12,14,30,11,0.523508183045808,0.650004,1.433498,1.76237290720588,1835.02292926086,morning,Summer
2021-12-14,11:40:00,2021,12,14,40,11,0.810105713830265,0.244797,2.203279,4.15436750674146,1845.8109304228,morning,Summer
2021-12-14,11:50:00,2021,12,14,50,11,0.632673070214492,0.554248,1.732972,2.41253335495569,1827.07902114865,morning,Summer
2021-12-14,12:00:00,2021,12,14,0,12,0.636553748956406,0.64965,1.464241,3.85333191577535,1829.32385949662,midday,Summer
2021-12-14,12:10:00,2021,12,14,10,12,0.894960742980206,0.490244,1.848113,4.20975140463235,1840.52998193448,midday,Summer
2021-12-14,12:20:00,2021,12,14,20,12,0.712449193800163,0.786258,0.865893,3.31673477598537,1826.92955878839,midday,Summer
2021-12-14,12:30:00,2021,12,14,30,12,0.563001817795715,0.861892,0.342427,2.17370616605412,1853.04175457191,midday,Summer
2021-12-14,12:40:00,2021,12,14,40,12,0.503048709030951,0.429779,1.939123,1.2078034471793,1851.9915451689,midday,Summer
2021-12-14,12:50:00,2021,12,14,50,12,0.843261689819948,0.285073,2.165503,4.34409935785306,1863.16553787624,midday,Summer
2021-12-14,13:00:00,2021,12,14,0,13,0.613709880002667,0.021656,2.301724,1.1650579517682,1819.41478488642,midday,Summer
2021-12-14,13:10:00,2021,12,14,10,13,0.730591142716154,0.512108,1.794117,3.11597686840952,1828.07242456132,midday,Summer
2021-12-14,13:20:00,2021,12,14,20,13,0.829374585487658,0.169208,2.254159,3.17054510805918,1836.54992761199,midday,Summer
2021-12-14,13:30:00,2021,12,14,30,13,0.65282971375687,0.216951,2.209495,1.14334367625859,1837.30659956556,midday,Summer
2021-12-14,13:40:00,2021,12,14,40,13,0.46015280851989,0.046994,2.298737,1.65173174098773,1823.9049224262,midday,Summer
2021-12-14,13:50:00,2021,12,14,50,13,0.43151103187987,0.136607,2.267255,1.21830678081652,1847.27301796585,midday,Summer
2021-12-14,14:00:00,2021,12,14,0,14,0.945245388791811,0.260574,2.167181,4.07723718200242,1867.29820657101,afternoon,Summer
2021-12-14,14:10:00,2021,12,14,10,14,0.392691262833188,0.808033,0.701997,2.61994707939766,1840.65329692722,afternoon,Summer
2021-12-14,14:20:00,2021,12,14,20,14,0.664855380752473,0.635874,1.458542,1.78844455782542,1833.20113911358,afternoon,Summer
2021-12-14,14:30:00,2021,12,14,30,14,0.527357268716843,0.305818,2.128658,0.908441868521645,1817.36669746349,afternoon,Summer
2021-12-14,14:40:00,2021,12,14,40,14,0.626108106787665,0.410605,1.978076,1.07838587684041,1826.12539901163,afternoon,Summer
2021-12-14,14:50:00,2021,12,14,50,14,0.455281575623971,0.872772,0.291028,1.68233581504595,1823.23950164562,afternoon,Summer
2021-12-14,15:00:00,2021,12,14,0,15,0.54599988997738,0.07581,2.292107,1.45340967191365,1846.05539445203,afternoon,Summer
2021-12-14,15:10:00,2021,12,14,10,15,0.65369858401964,0.105805,2.284335,2.31157819792862,1813.15723192191,afternoon,Summer
2021-12-14,15:20:00,2021,12,14,20,15,0.577178069589885,0.865115,0.411121,1.05780978303763,1820.54917423065,afternoon,Summer
2021-12-14,15:30:00,2021,12,14,30,15,0.491454451287495,0.367726,2.062274,1.26299910811576,1821.68059616811,afternoon,Summer
2021-12-14,15:40:00,2021,12,14,40,15,0.616525048089874,0.16439,2.25385,1.996869707854,1828.27096424401,afternoon,Summer
2021-12-14,15:50:00,2021,12,14,50,15,0.5992485491062,0.24404,2.2028470000000002,2.13206506616734,1822.5993043769,afternoon,Summer
2021-12-14,16:00:00,2021,12,14,0,16,0.480131199090975,0.343032,2.11074,3.27682460613351,1827.53437335812,afternoon,Summer
2021-12-14,16:10:00,2021,12,14,10,16,0.542282818120346,0.358033,2.084577,2.98790786306403,1824.57986721468,afternoon,Summer
2021-12-14,16:20:00,2021,12,14,20,16,0.511971616661528,0.310768,2.13696,1.93040605397885,1824.19952346953,afternoon,Summer
2021-12-14,16:30:00,2021,12,14,30,16,0.596729920438794,0.227071,2.212904,2.00397274178504,1817.70689049466,afternoon,Summer
2021-12-14,16:40:00,2021,12,14,40,16,0.566199674189664,0.043476,2.299364,2.27074395946843,1826.94950718232,afternoon,Summer
2021-12-14,16:50:00,2021,12,14,50,16,0.712801709314211,0.204183,2.233199,2.70253472456988,1824.26922117753,afternoon,Summer
2021-12-14,17:00:00,2021,12,14,0,17,0.608895262604367,0.532288,1.777746,2.00499542195837,1826.82476908437,afternoon,Summer
2021-12-14,17:10:00,2021,12,14,10,17,0.692871863252308,0.050892,2.298176,2.53442662854119,1828.6640769484,afternoon,Summer
2021-12-14,17:20:00,2021,12,14,20,17,0.680545266711978,0.368148,2.072954,3.66947683201456,1825.7696577244,afternoon,Summer
2021-12-14,17:30:00,2021,12,14,30,17,0.921176907661498,0.140834,2.269745,5.08817560787738,1840.80315233014,afternoon,Summer
2021-12-14,17:40:00,2021,12,14,40,17,0.448411051717972,0.22455,2.218612,1.98508588340285,1816.94657890935,afternoon,Summer
2021-12-14,17:50:00,2021,12,14,50,17,-0.0764000853827582,0.704896,1.308367,4.55836762324165,1833.60120663632,afternoon,Summer
2021-12-14,18:00:00,2021,12,14,0,18,0.417188968403676,0.167114,2.255708,2.08794363997316,1820.57069372438,dusk,Summer
2021-12-14,18:10:00,2021,12,14,10,18,0.471264569286943,0.384979,2.053538,3.1146462147101,1827.8541085231,dusk,Summer
2021-12-14,18:20:00,2021,12,14,20,18,0.594896637668005,0.195974,2.237714,2.83164569896363,1819.36447933886,dusk,Summer
2021-12-14,18:30:00,2021,12,14,30,18,0.618395580272445,0.663291,1.441099,3.52781380702459,1820.5510617165,dusk,Summer
2021-12-14,18:40:00,2021,12,14,40,18,0.00700509803713275,0.778257,0.991195,1.57221648459575,1833.37538580214,dusk,Summer
2021-12-14,18:50:00,2021,12,14,50,18,0.585371018691101,0.112197,2.281341,3.90717357732261,1835.28854799783,dusk,Summer
2021-12-14,19:00:00,2021,12,14,0,19,0.824435049341135,0.174233,2.253703,5.35671336446248,1842.34962617945,dusk,Summer
2021-12-14,19:10:00,2021,12,14,10,19,0.512858476670729,0.247165,2.20154,2.91994333540386,1817.94959665213,dusk,Summer
2021-12-14,19:20:00,2021,12,14,20,19,0.485823747816065,0.283244,2.160401,1.82030850073201,1811.49273838335,dusk,Summer
2021-12-14,19:30:00,2021,12,14,30,19,0.394237030482652,0.545841,1.731153,1.26006340852151,1817.0868707238,dusk,Summer
2021-12-14,19:40:00,2021,12,14,40,19,0.597217178514227,0.283367,2.165258,2.56361920249974,1823.77119821548,dusk,Summer
2021-12-14,19:50:00,2021,12,14,50,19,0.499083503751924,0.145593,2.265746,1.73831737029555,1819.99903260804,dusk,Summer
2021-12-14,20:00:00,2021,12,14,0,20,0.339659021964558,0.149326,2.261763,1.19385693022284,1817.61188385055,night,Summer
2021-12-14,20:10:00,2021,12,14,10,20,0.313423226638552,0.128781,2.27394,1.74219900319512,1814.0733629763,night,Summer
2021-12-14,20:20:00,2021,12,14,20,20,0.365245741550021,0.144547,2.26632,1.61548036563839,1818.36067834926,night,Summer
2021-12-14,20:30:00,2021,12,14,30,20,0.428512019479908,0.841112,0.618682,1.51946408047383,1827.17244510957,night,Summer
2021-12-14,20:40:00,2021,12,14,40,20,0.455266634625474,0.066831,2.294179,2.16487040477548,1822.73206451187,night,Summer
2021-12-14,20:50:00,2021,12,14,50,20,0.193583556649484,0.233501,2.196418,0.610495591130854,1810.93492467944,night,Summer
2021-12-15,05:00:00,2021,12,15,0,5,0.616728702199065,0.003608,2.302561,0.742986394153755,1809.88863902493,dawn,Summer
2021-12-15,05:10:00,2021,12,15,10,5,0.639930286839994,0.003706,2.30256,0.850510413900167,1809.1601364851,dawn,Summer
2021-12-15,05:20:00,2021,12,15,20,5,0.406077666860803,0.293403,2.146773,0.890245966823221,1807.25027149488,dawn,Summer
2021-12-15,05:30:00,2021,12,15,30,5,0.713759532776754,0.042838,2.299648,3.99105959560332,1839.21200722777,dawn,Summer
2021-12-15,05:40:00,2021,12,15,40,5,0.637241402812302,0.133017,2.274327,2.53406911466018,1830.32314822347,dawn,Summer
2021-12-15,05:50:00,2021,12,15,50,5,0.89345950264505,0.172605,2.254678,3.88263430621515,1846.76364018106,dawn,Summer
2021-12-15,06:00:00,2021,12,15,0,6,0.939071522129612,0.138124,2.27197,4.99503745134613,1861.85929473371,dawn,Summer
2021-12-15,06:10:00,2021,12,15,10,6,0.849989412756991,0.008703,2.302461,2.60312334253226,1836.5663391919,dawn,Summer
2021-12-15,06:20:00,2021,12,15,20,6,0.768395346486498,0.01981,2.301945,3.19739870870175,1833.43793032021,dawn,Summer
2021-12-15,06:30:00,2021,12,15,30,6,0.781091966521215,0.025202,2.301545,2.71663196640715,1829.07377275623,dawn,Summer
2021-12-15,06:40:00,2021,12,15,40,6,0.243026035913589,0.252161,2.196834,3.07549765743001,1830.65113262954,dawn,Summer
2021-12-15,06:50:00,2021,12,15,50,6,0.762830044514063,0.028244,2.301336,2.36682752060056,1829.96405962083,dawn,Summer
2021-12-15,07:00:00,2021,12,15,0,7,0.583372425132262,0.224733,2.209483,0.722522994352525,1817.27500250494,dawn,Summer
2021-12-15,07:10:00,2021,12,15,10,7,0.736327731255407,0.154843,2.261666,2.7124929693874,1824.08785597366,dawn,Summer
2021-12-15,07:20:00,2021,12,15,20,7,0.638034851198273,0.06765,2.295221,4.8950966585553,1848.06497011483,dawn,Summer
2021-12-15,07:30:00,2021,12,15,30,7,0.398862360822099,0.06238,2.296457,4.75690537013503,1844.28143791313,dawn,Summer
2021-12-15,07:40:00,2021,12,15,40,7,0.107379058273437,0.260517,2.192856,2.5020770511292,1818.11120723638,dawn,Summer
2021-12-15,07:50:00,2021,12,15,50,7,-0.684533062651689,0.764846,1.077807,3.00728910811122,1823.10386395064,dawn,Summer
2021-12-15,08:00:00,2021,12,15,0,8,-0.0158872119533162,0.721725,1.20943,4.2530945961296,1834.10889468254,morning,Summer
2021-12-15,08:10:00,2021,12,15,10,8,-0.669569795835028,0.781962,1.018962,3.30650754651127,1827.37384355463,morning,Summer
2021-12-15,08:20:00,2021,12,15,20,8,-0.440460915865703,0.811684,0.798818,2.97052536498463,1823.36509797185,morning,Summer
2021-12-15,08:30:00,2021,12,15,30,8,0.227179383121877,0.699601,1.299441,4.63917958017785,1848.94667495439,morning,Summer
2021-12-15,08:40:00,2021,12,15,40,8,0.360277875031049,0.173196,2.253,2.7139148620964,1824.49800249501,morning,Summer
2021-12-15,08:50:00,2021,12,15,50,8,-0.511447301467222,0.789271,0.927227,2.87601752598893,1821.25170500033,morning,Summer
2021-12-15,09:00:00,2021,12,15,0,9,0.687606967914889,0.316113,2.092124,0.936727699693708,1822.87056763132,morning,Summer
2021-12-15,09:10:00,2021,12,15,10,9,0.963027691257719,0.18765,2.243003,6.16171934456924,1821.8657641613,morning,Summer
2021-12-15,09:20:00,2021,12,15,20,9,0.791341219274418,0.027382,2.301368,4.54052801527317,1823.66994885865,morning,Summer
2021-12-15,09:30:00,2021,12,15,30,9,-0.550789878727787,0.761329,1.107446,3.95608760888814,1815.27086939886,morning,Summer
2021-12-15,09:40:00,2021,12,15,40,9,0.806621111970222,0.134254,2.27259,4.03077551909794,1848.9429424722,morning,Summer
2021-12-15,09:50:00,2021,12,15,50,9,0.860321839306309,0.561236,1.718155,5.56220789654692,1837.91296490179,morning,Summer
2021-12-15,10:00:00,2021,12,15,0,10,0.692833252654104,0.291752,2.153865,1.88959301295875,1821.71805605489,morning,Summer
2021-12-15,10:10:00,2021,12,15,10,10,0.552770655741598,0.179921,2.246446,1.76858179217218,1815.09253118976,morning,Summer
2021-12-15,10:20:00,2021,12,15,20,10,-0.208382431139497,0.76937,1.011319,2.80409895698954,1824.98233156831,morning,Summer
2021-12-15,10:30:00,2021,12,15,30,10,0.0388240384779725,0.867725,0.431013,2.95611879969987,1812.13809345129,morning,Summer
2021-12-15,10:40:00,2021,12,15,40,10,0.758599573185929,0.128698,2.27386,2.14199924326255,1815.20673768363,morning,Summer
2021-12-15,10:50:00,2021,12,15,50,10,-0.51477874781791,0.702811,1.336931,3.13674312261887,1819.97141642095,morning,Summer
2021-12-15,11:00:00,2021,12,15,0,11,-0.149047479869922,0.69332800000000006,1.30217,2.51322356443812,1822.48358771574,morning,Summer
2021-12-15,11:10:00,2021,12,15,10,11,0.64346770779125,0.236732,2.201211,1.70948516499593,1843.20203944716,morning,Summer
2021-12-15,11:20:00,2021,12,15,20,11,-0.723031028840595,0.521827,1.806697,3.74237336272585,1841.36633662976,morning,Summer
2021-12-15,11:30:00,2021,12,15,30,11,-0.153595764821897,0.594113,1.589182,2.41534784002476,1848.62919597638,morning,Summer
2021-12-15,11:40:00,2021,12,15,40,11,0.84668579122979,0.332019,2.098174,3.65087807471038,1854.35280848733,morning,Summer
2021-12-15,11:50:00,2021,12,15,50,11,0.555355665625684,0.785013,0.82572,1.30558611592794,1843.12952946645,morning,Summer
